Summary,Issue Type,Epic Name,Epic Link,Story Points,Labels,Description
M1 - Core loop,Epic,M1 - Core loop,,,read-confirm,"Exit criteria (PRD §6): a user can be assigned, confirm, and the record is queryable. Full task detail: docs/06_developer_task_list.md"
M2 - Admin & export,Epic,M2 - Admin & export,,,read-confirm,"Exit criteria (PRD §6): dashboard + CSV and PDF export pass acceptance criteria. Full task detail: docs/06_developer_task_list.md"
M3 - Marketplace listing,Epic,M3 - Marketplace listing,,,read-confirm,"Exit criteria (PRD §6): Marketplace submission. Full task detail: docs/06_developer_task_list.md"
T1 Scaffold Forge app skeleton,Task,,M1 - Core loop,3,read-confirm,"Manifest per tech design §2: 4 Confluence modules on ONE multi-entry resource; scopes per §7; NO webtrigger modules ever (breaks Runs on Atlassian). npm workspaces (src backend / static-app Vite MPA / packages-shared). CI per §10. Toolchain: Forge CLI >=13, Node 22.
Accept: forge deploy to development succeeds; all four surfaces render; CI green.
Depends on: -"
T2 Storage layer: KVS entities + idempotent confirm,Task,,M1 - Core loop,3,read-confirm,"Entities/indexes exactly per data model §2 (validated manifest YAML; lowercase names). Typed access + cursor pagination (§5 query code). Deterministic confirm key; read-then-write idempotency; counter bump in same KVS transaction. Append-only: no update/delete on confirmation or config-audit.
Accept: unit tests prove idempotency and append-only invariants; indexes ACTIVE after deploy.
Depends on: T1"
T3 Domain layer: status computation,Task,,M1 - Core loop,2,read-confirm,"Pure TS, zero Forge imports. Status per data model §3 normative algorithm; % complete rules; voluntary exclusion; reconfirmOnChange computed from versions never events (§6.2).
Accept: exhaustive unit tests incl. data model §7 invariants (pure, no clock reads).
Depends on: T1"
T4 Core resolvers with three-tier authorization,Task,,M1 - Core loop,4,read-confirm,"getPageStatus (single round-trip), confirm (asUser page read = permission proof + server-authoritative version; pageChanged per §6.3), getConfig/saveConfig (page edit perm OR compliance manager; appends config-audit). Tiers per §4: asUser viewer-scoped; asApp ONLY other-user permission checks (404 = deleted user) + deleted-vs-restricted probe.
Accept: forged client payload cannot record wrong version; no data leaks to users without page view permission.
Depends on: T2, T3"
T5 Shared i18n (en/tr) + Atlaskit theming,Task,,M1 - Core loop,2,read-confirm,"Lift catalogs from mockups/index.html into packages/shared/i18n (en+tr); react-intl on all surfaces; locale+theme from Confluence context; setGlobalTheme. Confirm button copy exact, never shortened (UX §6).
Accept: Confluence language/theme switch propagates to all surfaces; no literal strings in components.
Depends on: T1"
T6 Macro UI: reader states R1-R7,Task,,M1 - Core loop,3,read-confirm,"UX §2.1 + mockups: R1 required, R2 confirming (pessimistic - never optimistic confirmed), R3 confirmed, R5 voluntary, R6 retryable error, R7 changed-mid-read; R4 behind v1.1 flag. aria-live transitions; keyboard access. Multi-macro: first active, others inert warning.
Accept: R2 to R3 only after server ack; forced storage failure shows R6 with re-enabled button.
Depends on: T4, T5"
T7 Assignment config modal,Task,,M1 - Core loop,4,read-confirm,"Custom UI macro config (config.resource, openOnInsert - validated M0-6). Atlaskit user-picker + group picker wired to Confluence search (resolve endpoint+scope first, §11.6 residual). Save = invoke saveConfig to KVS then view.submit empty config to close - assignment data NEVER in page ADF (§11.6). Empty = voluntary-mode notice. Due date/reconfirm shown disabled with v1.1 tag.
Accept: assignment survives page version restore; same config editable from dashboard drill-down.
Depends on: T4, T5"
T8 Byline item: chip + dialog,Task,,M1 - Core loop,2,read-confirm,"UX §2.2: dynamicProperties chip (required / confirmed date / expired), hidden for uninvolved viewers, dialog reuses macro components, chip refreshes after close.
Accept: chip correct per user situation; dialog confirm writes same record as macro.
Depends on: T6"
